遗物名称	任务区域	任务类型	任务节点	掉落信息
古纪 C7	土星	资源储藏舱	魔多星团	6%
古纪 C7	土星	资源储藏舱	卡希欧安息处	6%
古纪 C7	土星	资源储藏舱	诺朵星峡	6%
古纪 C7	土星	资源储藏舱	卢帕星道	6%
古纪 C7	金星	资源储藏舱	虹桥回声	B（9.68%）
古纪 C7	土星	资源储藏舱	水域星团	6%
古纪 C7	金星	资源储藏舱	卫标星环	B（9.68%）
古纪 C7	金星	资源储藏舱	欧文－哈克	B（9.68%）
古纪 C7	金星	资源储藏舱	维斯珀峡道	B（9.68%）
古纪 C7	海王星	资源储藏舱	时空坐标	B（9.09%）
古纪 C7	海王星	资源储藏舱	女娲之矿	B（9.09%）
古纪 C7	海王星	资源储藏舱	初裔冰渍区	B（9.09%）
古纪 C7	海王星	资源储藏舱	诱惑之景	B（9.09%）
古纪 C7	海王星	资源储藏舱	星主之握	B（9.09%）
古纪 C7	海王星	资源储藏舱	薄暮星团	B（9.09%）
古纪 C7	金星	资源储藏舱	无垠华盖	B（9.68%）
古纪 C7	金星	资源储藏舱	落没之耀	B（9.68%）
古纪 C14	地球	资源储藏舱	深眠峡道	5%
古纪 C14	地球	前哨战	虚无神殿	3%
古纪 C14	地球	资源储藏舱	虚无神殿	5%
古纪 C14	地球	拦截	GAIA	A（10%）
古纪 C14	地球	赏金	瘟疫之星赏金任务（阶段1）	A（1.14%）
古纪 C14	地球	赏金	瘟疫之星赏金任务（阶段2、3）	A（0.58%）
古纪 C14	地球	赏金	瘟疫之星赏金任务（阶段4）	A（0.42%）
古纪 C14	地球	防御	COBA	A（6.9%）
古纪 C14	地球	挖掘	TIKAL	B（7.69%）
古纪 C14	地球	挖掘	TIKAL	C（11.06%）
古纪 C14	地球	前哨战	奥加尔星团	3%
古纪 C14	地球	资源储藏舱	奥加尔星团	5%
古纪 C14	地球	前哨战	克姆地带	3%
古纪 C14	地球	资源储藏舱	克姆地带	5%
古纪 C14	地球	前哨战	本达尔星团	3%
古纪 C14	地球	资源储藏舱	本达尔星团	5%
古纪 C14	?	?	FAMILY REUNION	A（2.21%）
古纪 C14	?	?	HOT MESS	A（2.21%）
古纪 C14	?	?	弑日者	A（2.21%）
古纪 C14	?	?	TABLE FOR TWO	A（2.21%）
古纪 C14	?	?	ANOTHER BETRAYER	A（2.21%）
古纪 C14	?	?	TIME'S UP	A（2.21%）
古纪 C14	?	?	THE AFTERMATH	A（2.21%）
古纪 C14	火星	中断	OLYMPUS	A（14.29%）
古纪 C14	火星	中断	OLYMPUS	B（14.29%）
古纪 C14	水星	拦截	ODIN	A（10%）
古纪 C14	火星	防御	SPEAR	A（9.09%）
古纪 C14	火星	拦截	ALATOR	A（10%）
古纪 C14	火星	间谍	ARVAL	B（14.29%）
古纪 C14	火星	挖掘	AUGUSTUS	B（7.69%）
古纪 C14	火星	挖掘	AUGUSTUS	C（11.06%）
古纪 C14	火星	防御	KADESH	A（6.9%）
古纪 C14	水星	间谍	SUISEI	B（14.29%）
古纪 C14	木星	防御	SINAI	A（6.9%）
