遗物名称	任务区域	任务类型	任务节点	掉落信息
后纪 C11	地球	赏金	瘟疫之星赏金任务（阶段2、3）	A（0.58%）
后纪 C11	地球	赏金	瘟疫之星赏金任务（阶段4）	A（0.42%）
后纪 C11	地球	赏金	瘟疫之星赏金任务（额外奖励）	A（0.67%）
后纪 C11	?	?	霍瓦尼亚对战：PVE模式	B（8.33%）
后纪 C11	?	?	霍瓦尼亚对战：PVE模式（钢铁之路）	B（8.33%）
后纪 C11	?	?	霍瓦尼亚对战：PVP模式	B（8.33%）
后纪 C11	?	?	霍瓦尼亚对战：PVP模式（钢铁之路）	B（8.33%）
后纪 C11	火星	防御	TYANA PASS	C（7.9%）
后纪 C11	木星	中断	GANYMEDE	C（5%）
后纪 C11	天王星	生存	OPHELIA	C（11.06%）
后纪 C11	天王星	防御	STEPHANO	B（6.67%）
后纪 C11	天王星	防御	STEPHANO	C（11.06%）
后纪 C11	天王星	拦截	CAELUS	C（9.68%）
后纪 C11	天王星	生存	ASSUR	C（11.06%）
后纪 C11	海王星	防御	PROTEUS	B（6.67%）
后纪 C11	海王星	防御	PROTEUS	C（11.06%）
后纪 C11	海王星	挖掘	DESPINA	C（11.06%）
后纪 C11	海王星	叛逃	YURSA	C（10%）
后纪 C11	海王星	生存	KELASHIN	C（11.06%）
后纪 C11	冥王星	防御	OUTER TERMINUS	B（6.67%）
后纪 C11	冥王星	防御	OUTER TERMINUS	C（11.06%）
后纪 C11	冥王星	拦截	CERBERUS	B（14.29%）
后纪 C11	冥王星	拦截	CERBERUS	C（14.29%）
后纪 C11	冥王星	生存	PALUS	C（11.06%）
后纪 C11	冥王星	挖掘	HIERACON	C（11.06%）
后纪 C11	阋神星	防御	KALA-AZAR	B（6.67%）
后纪 C11	阋神星	防御	KALA-AZAR	C（11.06%）
后纪 C11	阋神星	Infested资源回收	OESTRUS	B（7.69%）
后纪 C11	阋神星	生存	NIMUS	C（11.06%）
后纪 C11	阋神星	拦截	XINI	B（14.29%）
后纪 C11	阋神星	拦截	XINI	C（14.29%）
后纪 C11	阋神星	生存	ZABALA	C（12.5%）
后纪 C11	赛德娜	中断	KAPPA	C（10.2%）
后纪 C11	赛德娜	拦截	BEREHYNIA	B（14.29%）
后纪 C11	赛德娜	拦截	BEREHYNIA	C（14.29%）
后纪 C11	赛德娜	生存	SELKIE	C（11.06%）
后纪 C11	赛德娜	防御	HYDRON	B（6.67%）
后纪 C11	赛德娜	防御	HYDRON	C（11.06%）
后纪 C11	赛德娜	生存	AMARNA	C（11.06%）
后纪 C11	欧罗巴	挖掘	CHOLISTAN	C（11.06%）
后纪 C11	虚空	防御	光神塔	C（2.82%）
后纪 C11	虚空	生存	死灵塔	C（10.84%）
后纪 C11	虚空	生存	死灵塔	C（0.29%）
后纪 C11	虚空	移动防御	太阳塔	6.25%
后纪 C11	虚空	破坏	守护神塔	6.25%
后纪 C11	虚空	拦截	光理塔	C（10.84%）
后纪 C11	虚空	拦截	光理塔	C（0.29%）
后纪 C11	火卫二	生存	TERROREM	C（11.06%）
后纪 C11	火卫二	中断	卫城区	C（10%）
后纪 C11	月球	生存	TYCHO	C（11.06%）
后纪 C11	月球	防御	STöFLER	B（6.67%）
后纪 C11	月球	防御	STöFLER	C（11.06%）
后纪 C11	月球	中断	APOLLO	B（14.29%）
后纪 C11	月球	中断	APOLLO	C（12.42%）
后纪 C11	月球	生存	YUVARIUM	C（11.36%）
后纪 C11	月球	生存	CIRCULUS	C（6.12%）
后纪 C11	赤毒要塞	防御	NABUK	B（6.67%）
后纪 C11	赤毒要塞	防御	NABUK	C（11.06%）
后纪 C11	赤毒要塞	生存	TAVEUNI	C（8%）
后纪 C11	面纱比邻星域	歼灭	蒲芦	2.41%
后纪 C11	面纱比邻星域	爆发	努秘	2.41%
后纪 C11	面纱比邻星域	防御	曲银之地	C（5.71%）
后纪 C11	面纱比邻星域	奥影母艇	深情之域	B（4.55%）
后纪 C11	面纱比邻星域	生存	鹿岩	C（6.25%）
后纪 C11	面纱比邻星域	间谍	萨米尔星云	B（10%）
后纪 C11	霍瓦尼亚	防御	至日广场	C（8.18%）
后纪 D6	地球	赏金	瘟疫之星赏金任务（阶段1）	A（1.14%）
后纪 D6	地球	赏金	瘟疫之星赏金任务（阶段2、3）	A（0.58%）
