遗物名称	任务区域	任务类型	任务节点	掉落信息
中纪 V11	?	?	霍瓦尼亚对战：PVE模式	B（8.33%）
中纪 V11	?	?	霍瓦尼亚对战：PVE模式（钢铁之路）	B（8.33%）
中纪 V11	?	?	霍瓦尼亚对战：PVP模式	B（8.33%）
中纪 V11	?	?	霍瓦尼亚对战：PVP模式（钢铁之路）	B（8.33%）
中纪 V11	?	?	FAMILY REUNION	C（2.01%）
中纪 V11	?	?	HOT MESS	C（2.01%）
中纪 V11	?	?	弑日者	C（2.01%）
中纪 V11	?	?	TABLE FOR TWO	C（2.01%）
中纪 V11	?	?	ANOTHER BETRAYER	C（2.01%）
中纪 V11	?	?	TIME'S UP	C（2.01%）
中纪 V11	?	?	THE AFTERMATH	C（2.01%）
中纪 V11	赤毒要塞	防御	NABUK	A（10%）
中纪 V11	赤毒要塞	生存	TAVEUNI	B（6.67%）
中纪 V11	赤毒要塞	间谍	PAGO	C（3.22%）
中纪 V11	地球	赏金	瘟疫之星赏金任务（阶段2、3）	A（0.58%）
中纪 V11	地球	赏金	瘟疫之星赏金任务（阶段4）	A（0.42%）
中纪 V11	地球	赏金	瘟疫之星赏金任务（额外奖励）	A（0.67%）
中纪 V11	地球	防御	COBA	C（1.84%）
中纪 V11	谷神星	生存	DRACO	C（11.06%）
中纪 V11	谷神星	防御	SEIMENI	C（1.84%）
中纪 V11	海王星	防御	PROTEUS	A（10%）
中纪 V11	海王星	挖掘	DESPINA	B（6.67%）
中纪 V11	海王星	间谍	NEREID	B（3.22%）
中纪 V11	海王星	叛逃	YURSA	B（10%）
中纪 V11	海王星	生存	KELASHIN	B（6.67%）
中纪 V11	火卫二	赏金	魔胎之境（1阶隔离库 赏金）	B（0.5%）
中纪 V11	火卫二	赏金	魔胎之境（2阶隔离库 赏金）	A（0.5%）
中纪 V11	火卫二	赏金	魔胎之境（1阶奥秘隔离库赏金阶段4）	B（0.5%）
中纪 V11	火卫二	赏金	魔胎之境（1阶奥秘隔离库赏金阶段5）	B（1%）
中纪 V11	火卫二	赏金	魔胎之境（2阶奥秘隔离库赏金阶段4）	A（0.5%）
中纪 V11	火卫二	赏金	魔胎之境（2阶奥秘隔离库赏金阶段5）	A（1%）
中纪 V11	火卫二	生存	TERROREM	B（12.5%）
中纪 V11	火卫二	生存	不灭之地	B（7.5%）
中纪 V11	火卫二	元素转换	异化区	B（7.5%）
中纪 V11	火卫二	防御	墓垒	B（7.5%）
中纪 V11	火卫二	中断	卫城区	B（10%）
中纪 V11	火卫一	生存	ZEUGMA	C（11.06%）
中纪 V11	火星	防御	KADESH	C（1.84%）
中纪 V11	火星	生存	WAHIBA	C（11.06%）
中纪 V11	火星	防御	TYANA PASS	A（6.25%）
中纪 V11	火星	防御	TYANA PASS	B（5.8%）
中纪 V11	霍瓦尼亚	传承种收割	传承种收割	B（9.56%）
中纪 V11	霍瓦尼亚	传承种收割	传承种收割	C（15.86%）
中纪 V11	霍瓦尼亚	生存	地狱净化：炽蛇军	B（9.35%）
中纪 V11	霍瓦尼亚	生存	地狱净化：炽蛇军	C（11.92%）
中纪 V11	霍瓦尼亚	生存	地狱净化：科腐者	B（9.35%）
中纪 V11	霍瓦尼亚	生存	地狱净化：科腐者	C（11.92%）
中纪 V11	霍瓦尼亚	防御	至日广场	B（9.9%）
中纪 V11	金星	防御	ROMULA	C（1.84%）
中纪 V11	面纱比邻星域	前哨战	弗雷沙	2%
中纪 V11	面纱比邻星域	资源储藏舱	弗雷沙	A（4.8%）
中纪 V11	面纱比邻星域	前哨战	H-2 星云	2%
