名称	部件	掉落遗物	杜卡德金币
迅发电浆炮Prime	枪管	中纪A13（稀有）, 中纪A15（稀有）, 中纪A12（稀有）, 中纪A14（稀有）, 前纪A5（稀有）	45
迅发电浆炮Prime	蓝图	古纪M10（常见）, 古纪C11（常见）, 前纪V10（常见）, 前纪W5（常见）, 前纪N17（常见）, 前纪G9（常见）, 中纪Z11（常见）, 古纪N17（罕见）, 后纪M6（常见）	100
迅发电浆炮Prime	枪机	前纪L3（罕见）, 后纪O6（罕见）, 中纪O2（罕见）, 中纪L4（罕见）, 前纪K7（罕见）, 中纪F3（罕见）, 后纪Z2（罕见）	100
迅发电浆炮Prime	枪托	后纪A19（稀有）, 后纪A18（稀有）, 前纪A8（稀有）	45
盗贼双枪Prime	枪管	后纪N10（常见）, 中纪E4（常见）, 前纪R6（常见）, 前纪W4（常见）, 古纪P8（常见）, 古纪N14（常见）, 古纪H9（常见）, 前纪B9（常见）, 前纪D7（常见）	15
盗贼双枪Prime	蓝图	古纪G6（常见）, 中纪G7（常见）, 中纪T7（常见）, 后纪B9（常见）, 中纪Z10（常见）, 中纪M5（常见）, 后纪D5（常见）, 后纪B6（常见）	15
盗贼双枪Prime	连接器	后纪G11（罕见）, 中纪P8（罕见）, 前纪V9（罕见）, 中纪K5（罕见）, 前纪A5（罕见）	100
盗贼双枪Prime	枪机	后纪A16（稀有）, 后纪A17（稀有）, 前纪A4（稀有）, 古纪A9（稀有）	45
阿利乌双枪Prime	枪管	后纪H8（常见）, 古纪O4（常见）, 中纪X1（常见）, 中纪A13（常见）, 中纪A12（常见）, 中纪D10（常见）, 后纪D5（常见）	15
阿利乌双枪Prime	蓝图	前纪A7（稀有）, 中纪A11（稀有）	45
阿利乌双枪Prime	连接器	前纪T8（罕见）, 后纪Y2（罕见）, 前纪T7（罕见）, 前纪N17（罕见）, 古纪R5（罕见）, 前纪P16（罕见）	100
阿利乌双枪Prime	枪机	古纪A6（稀有）, 古纪A7（稀有）, 古纪A10（稀有）, 古纪A8（稀有）	45
螺钉双枪Prime	枪管	古纪O1（罕见）, 古纪A3（罕见）, 古纪K5（罕见）, 古纪C2（罕见）, 古纪V5（罕见）	100
螺钉双枪Prime	蓝图	前纪D3（常见）, 后纪H5（常见）, 古纪M7（常见）, 中纪V7（常见）, 中纪M1（常见）, 中纪Z2（常见）, 后纪G2（常见）	15
